finding_id,title,severity,domain,affected_files,evidence,expected_behavior,actual_behavior,impact,reproducibility,confidence,recommended_action,blocking_status
F-01,39/39 validation measures boundary-compliance not classification accuracy,HIGH,fixtures-baseline,tests/sera-vnext/engine-validation-v01/compare-output.ts; tests/sera-vnext/engine-validation-v01/expected/engine-v01-expected.json,"compare-output.ts:64 skips code check when allowedCodes==UNRESOLVED_BY_AUTHOR (81 such markers); every axis has nullCodeAllowed=true and codeRequired=false; reproduced 39/39 PASS with 80/117 axis slots null and only 7 distinct codes ever emitted","If 39/39 is cited as proof of methodological readiness, it should test that the engine produces methodologically-correct P/O/A codes","Validation asserts the engine stays within author-specified boundaries and does not emit forbidden codes/inferences; it does not require any specific code and waives 68% of axis decisions","'39/39 proves readiness' is overstated; passing is dominated by conservative restraint (null) plus negative checks",High - reproduced via tmp/audit-run-validation.ts,High,"Re-label claim as 'boundary/contract compliance + determinism'; add accuracy cases with codeRequired where methodology is unambiguous; report UNRESOLVED rate",NON_BLOCKING_FOR_CANDIDATE_ONLY
F-02,Expected allowedCodes are supersets fitted around engine output,HIGH,fixtures-baseline,tests/sera-vnext/engine-validation-v01/expected/engine-v01-expected.json,"For every coded case sampled (GEN-AIR-CANADA-759, ADV-VIOLATION-WITHOUT-AWARENESS, OFFICIAL-COMAIR-5191, GEN-NO-FAILURE) allowedCodes contained exactly the engine's emitted code(s) and nullCodeAllowed=true","Expected boundaries should be authored independently from methodology, before observing engine output","allowedCodes consistently equal engine-output ∪ adjacent code; structure consistent with expectations fitted to the engine (leakage between fixture and implementation)","Reduces independence of the baseline; 'validation' partly circular",High,Medium,"Document baseline authoring provenance; freeze an independently-authored gold set with codeRequired for unambiguous cases",NON_BLOCKING_FOR_CANDIDATE_ONLY
F-03,Engine cannot reach 8 of 22 canonical leaf codes,HIGH,engine,frontend/src/lib/sera-vnext/canonical-tree/evaluate-node.ts,"decideP never returns SIM for P_CAPABILITY (P_TIME_PRESSURE/P_INFORMATION_* unreachable => P-D,P-E,P-F,P-G,P-H dead); decideA A_IMPLEMENTED never returns NÃO_FEEDBACK (A-B dead); A_TIME_PRESSURE never returns NÃO_SELECAO/NÃO_FEEDBACK (A-F,A-G dead). Confirmed by 39-case code tally: only 7 distinct codes ever emitted","Decision heuristics should be able to reach every canonical leaf where evidence supports it","8 of 22 leaf codes are structurally unreachable by the decision logic","Engine cannot propose entire families of failure modes (attention-under-time-pressure, feedback failure, etc.); bounds methodological coverage",High - static code analysis + runtime tally,High,"Add decision branches for the missing transitions or document the reduced active code set as an explicit engine limitation",NON_BLOCKING_FOR_CANDIDATE_ONLY
F-04,Objective-axis violation over-attribution from mere continuation,HIGH,methodology,frontend/src/lib/sera-vnext/canonical-tree/evaluate-node.ts,"decideO O_RULES routes 'continue/continued/despite warning/unstable approach/below profile' to NÃO (violation path); O_ROUTINE then returns SIM (same continuation keywords) => O-B routine violation without awareness/conscious-deviation evidence. 39-case tally: O-B emitted 18 times; ADV-VIOLATION-WITHOUT-AWARENESS emits O-B and PASSES","Violation codes (O-B/O-C) require explicit awareness of a known rule and conscious deviation; continuation under perception failure should not be classified as a violation","Continuation of an unsafe approach is auto-classified as a routine violation (O-B) from keyword presence, without awareness evidence","Risk of mis-attributing perception/objective-error events to the violation axis; harness does not catch it",High,High,"Require explicit awareness/conscious-deviation evidence before O-B/O-C; route bare continuation to UNRESOLVED or objective-error path",NON_BLOCKING_FOR_CANDIDATE_ONLY
F-05,P/O/A decision logic is English-only while product runs Portuguese narratives,HIGH,engine,frontend/src/lib/sera-vnext/canonical-tree/evaluate-node.ts; frontend/src/lib/sera-vnext-product/persistence/create-analysis.ts,"All node-decision regexes in evaluate-node.ts are English (recognized/did not/wrong runway/go-around). create-analysis.ts:27 sets engine locale 'pt-BR'. Escape-window detection IS bilingual (candidate-escape-window.ts) but axis decisions are not","Engine should classify the language the product accepts (pt-BR)","Portuguese narratives match almost no axis pattern => axes return UNRESOLVED; real product analyses will mostly produce all-null candidate codes","Core classification capability does not function for the product's actual input language; undermines the 'A IA classifica' value proposition",High,High,"Add Portuguese lexical patterns (or language-agnostic extraction) to axis decisions; gate copy on real PT capability",BLOCKING_FOR_PT_VALUE_CLAIM
F-06,Guardrail assurance flags are hardcoded false (vacuous),MEDIUM,engine,frontend/src/lib/sera-vnext/engine-v0/steps/10-assurance.ts; tests/sera-vnext/engine-validation-v01/compare-output.ts,"10-assurance.ts:68-75 hardcodes consequenceUsedAsCause/postEscapeHuntingDetected/oeUsed/inventedQuestionDetected/preconditionUsedAsEscapePoint = false; only actorMigrationDetected is computed. compare-output.ts:146 asserts these flags==false (always true)","Guardrail flags should be computed from engine behavior so downstream checks are meaningful","Five of six guardrail flags are static false; the 39-case requiredGuardrails checks pass vacuously","False sense of methodological assurance; guardrail-based test assertions prove nothing",High,High,"Compute guardrail flags from actual traversal/evidence or remove them and the assertions that rely on them",NON_BLOCKING
F-07,Live user classification path is legacy /api/analyze not the frozen vNext engine,HIGH,product-frontend,frontend/src/app/api/analyze/route.ts; frontend/src/app/(dashboard)/events/new; frontend/src/lib/risk-profile/server.ts,"Risk profile reads legacy analyses.perception_code/objective_code/action_code (server.ts:363); events/new flow + credits gate (analyze/route.ts:174) feed legacy analyses; vNext product beta is admin-only behind SERA_VNEXT_PRODUCT_BETA_ENABLED","Candidate-only locks and methodology freeze should govern the engine users actually use","The user-facing classifier is the legacy credit-gated /api/analyze pipeline (produces stored P/O/A codes); all vNext candidate-only locks apply to an admin-only path most users never touch","The audited locks do not protect the live user path; risk profile mixes legacy and vNext methodology versions",Medium - inferred from data flow,Medium,"Confirm legacy /api/analyze non-final posture and copy; decide which engine is canonical for users; align locks",NEEDS_AUTHOR_DECISION
F-08,Risk Profile combines legacy and vNext P/O/A codes into shared distributions,MEDIUM,risk-profile,frontend/src/lib/risk-profile/server.ts; frontend/src/lib/risk-profile/erc.ts,"server.ts getRiskProfileSummaryForTenant builds perception/objective/action counts from both legacy events.analyses and sera_vnext_analyses; erc.ts computeHfaErcCategoryFromCodes applied to both","If legacy and vNext used different code spaces or methodology versions they should not be pooled","Codes are pooled into one distribution assuming code-space compatibility; methodology version differences are ignored","Aggregates may mix methodologically non-comparable classifications",Medium,Medium,"Tag each source with methodology version; either separate distributions or document compatibility",NON_BLOCKING
F-09,Risk score and recurring-pattern aggregates are technical contrivances presented as risk intelligence,MEDIUM,risk-profile,frontend/src/lib/risk-profile/server.ts,"server.ts:528 baseScore = (pTotal*1.0+oTotal*0.8+aTotal*0.6)/totalAnalyses/3*100 with undocumented weights; buildRecurringPatterns has no count threshold (lists count=1); zero-state copy claims 'perfil organizacional' at 10 analyses","Risk scores/patterns/trends should derive from a documented, methodologically-grounded method","Arbitrary weighted score (0-100 critical/warning/ok), unthresholded 'recurring patterns', org profile asserted at n=10","Counts dressed as organizational risk inferences; over-claim risk on small samples",High,High,"Document or replace score method; add thresholds for 'pattern'/'trend'; gate 'organizational profile' on sufficient n; lean on existing data_confidence",NON_BLOCKING
F-10,ERC mapping is a sparse heuristic presented as ARMS ERC,MEDIUM,risk-profile,frontend/src/lib/risk-profile/erc.ts,"ARMS_SEVERITY_ROW only maps P-A/P-B/P-F; all else defaults to 'C'; barrier=count of P/O/A != -A; objective/action semantics ignored beyond fail/no-fail","ERC classification should faithfully implement a validated ARMS mapping","Two-axis lookup (perception-severity x barrier-count) with 3 defined perception rows; presented as ERC 1-5 risk levels","ERC distribution shown to users is an under-specified heuristic",High,Medium,"Validate the ARMS mapping or relabel as a heuristic indicator",NON_BLOCKING
F-11,176 trial suite is dominated by static text-grep and file-existence guards,MEDIUM,test-suite,tests/sera-vnext/*.ts,"176 trial files: 96 use readFileSync (93 assert via includes/match/test on file text), 75 use existsSync, only 16 import/execute the engine, 20 use fetch/server, 27 reference supabase","Headline pass counts should reflect behavioral coverage","Majority of trials assert presence of strings in source/docs or file existence; ~16 execute the engine","'176/176 PASS' overstates behavioral coverage; many guards pass without exercising audited behavior",High - grep classification,High,"Separate static guards from behavioral tests in reporting; consolidate/retire redundant grep guards",NON_BLOCKING
F-12,Public and dashboard copy overstate AI classification and methodology validation,HIGH,frontend,frontend/src/app/(dashboard)/risk-profile/page.tsx; frontend/src/app/page.tsx,"risk-profile/page.tsx:1680 'A IA classifica os fatores humanos ... com justificativa metodológica'; page.tsx:260 badge 'Metodologia validada'; page.tsx:984 'O HFA/SERA foi validado através de análises comparativas...'","Copy must match candidate-only / human-review-required posture and actual capability","Copy states the AI classifies human factors and that the methodology is validated","Communication/methodology risk: contradicts candidate-only locks and the absence of scientific validation; misleads users",High,High,"Reword to assistive/candidate-only framing; remove or qualify 'Metodologia validada'; align with human-review-required",BLOCKING_FOR_PUBLIC_CLAIMS
F-13,Three overlapping risk endpoints; one is stale legacy-only,MEDIUM,api-techdebt,frontend/src/app/api/risk-profile/route.ts; frontend/src/app/api/org/intelligence/route.ts; frontend/src/app/api/analyses/risk-profile/route.ts,"/api/risk-profile and /api/org/intelligence both call getRiskProfileSummaryForTenant (org/intelligence lacks audit log); /api/analyses/risk-profile queries legacy analyses table directly (no vNext, no exclusions)","One canonical risk endpoint","Duplicate endpoint (no audit on org/intelligence) plus a legacy-only endpoint that diverges (omits vNext and exclusions)","Divergent numbers if any client uses /api/analyses/risk-profile; inconsistent audit logging",High,High,"Consolidate to one endpoint; retire /api/analyses/risk-profile; ensure audit logging",NON_BLOCKING
F-14,Risk endpoints leak raw internal error messages to clients,MEDIUM,security,frontend/src/app/api/risk-profile/route.ts; frontend/src/app/api/org/intelligence/route.ts; frontend/src/app/api/risk-profile/exclusions/route.ts,"jsonError(String(e),500) / jsonError(error.message,500) returns internal error text to client (not stack, but DB/internal messages)","5xx responses should return a generic message + request id","Client receives raw error.message on failures","Information disclosure of internal/DB error details",High,High,"Return generic 500 with request_id; log details server-side only (as product-beta handlers do)",NON_BLOCKING
F-15,Dead engine pipeline retained (engine.ts + legacy steps 01/06-11),LOW,tech-debt,frontend/src/lib/sera-vnext/engine.ts; frontend/src/lib/sera-vnext/steps/,"Product/runtime use runSeraVNextEngineV0; analyzeSeraVNext(engine.ts) only referenced by index.ts and old trials; engine-v0 reuses legacy steps 02-05 only","Unused pipelines should be removed or clearly quarantined","engine.ts + legacy steps 01,06,07,08,09,10,11 are dead in product but still exported and exercised by old trials","Confusion about which engine is canonical; maintenance burden",High,High,"Remove or clearly mark engine.ts pipeline as deprecated; keep only steps reused by engine-v0",NON_BLOCKING
F-16,Tree evidenceRequired/prohibitedInferences are synthesized not sourced,LOW,methodology,frontend/src/lib/sera-vnext/canonical-tree/sera-pt-v1.ts,"inferEvidenceRequired/inferProhibitedInferences generate these fields from node-id prefix, not from the canonical asset doc","Methodological metadata should trace to source","Generic per-axis strings synthesized at build time","Apparent methodological metadata is not authored/traceable",High,High,"Source these from the asset doc or mark as engine-generated heuristics",NON_BLOCKING
F-17,O_MANAGED_RISK Portuguese question text vs branch polarity mismatch,LOW,methodology,frontend/src/lib/sera-vnext/canonical-tree.ts,"Node O_MANAGED_RISK PT text describes the non-conservative case but SIM->O-A (conservative) and NÃO->O-D","PT question polarity must match branch semantics","PT wording and SIM/NÃO leaf mapping are inverted relative to each other","Reviewer confusion; potential mis-answer if a human follows the PT text",Medium,Medium,"Correct the PT question text to match SIM=conservative",NON_BLOCKING
F-18,Escape-point heuristic selects first control-window sentence, not first unsafe moment,MEDIUM,methodology,frontend/src/lib/sera-vnext/engine-v0/candidate-escape-window.ts,"buildCandidateEscapeWindow picks earliest sentence containing any control keyword (crew/pilot/decided/continued/...) before first outcome keyword","Escape point = first moment the operation stopped being safe","Earliest crew-action sentence is taken as escape boundary","Escape point may be placed too early for narratives that open with routine actions",Medium,Medium,"Refine escape detection toward first safety-relevant deviation; keep PROGRESSIVE_ZONE labeling and human confirmation",NON_BLOCKING
F-19,risk_profile_exclusions lacks DB-level role gate and source FK,LOW,security-db,supabase/migrations/20260608190000_risk_profile_exclusions.sql,"RLS policies check only tenant_id (no admin role); source_id has no FK and no DB-level source-existence/tenant check","Defense-in-depth: role + source validity enforced at DB too","Role enforced only at API (requireAdmin) and source existence only at API (universe check)","If any future caller bypasses the API, a non-admin tenant member could write exclusions / orphan source_ids","Static review",High,"Add admin role to exclusion RLS; validate source membership in DB or keep API as sole writer and document it",NON_BLOCKING
F-20,Beta JWT helper functions omit explicit search_path,LOW,security-db,supabase/migrations/20260607135727_sera_vnext_product_beta.sql,"sera_vnext_beta_jwt_tenant_id/_role/_can_use are SQL STABLE SECURITY INVOKER without 'set search_path'","Best practice: pin search_path on functions","No search_path set (mitigated: SECURITY INVOKER, not DEFINER)","Low risk of resolution ambiguity","Static review",High,"Add 'set search_path = public' for consistency with get_tenant_id",NON_BLOCKING
F-21,A_CAPABILITY defaults to SIM with no supporting evidence,LOW,methodology,frontend/src/lib/sera-vnext/canonical-tree/evaluate-node.ts,"decideA A_CAPABILITY returns SIM (statements.slice(0,2)) when no physical/knowledge keywords present, proceeding to A_TIME_PRESSURE","Each branch answer should be evidence-supported or UNRESOLVED","Action traversal proceeds past capability without capability evidence","Slightly weakens evidence-first guarantee on the A axis","Static review",High,"Return UNRESOLVED when capability evidence is absent",NON_BLOCKING
F-22,Soft-skip try/catch in E2E tests can mask cross-tenant assertions,MEDIUM,test-suite,tests/sera-vnext/risk-profile-security-trial-001.ts,"Blocked-tenant session creation wrapped in try/catch -> blockedToken=null; subsequent cross-tenant checks may be skipped silently if session setup fails","Cross-tenant negative tests must fail loudly if preconditions cannot be met","Setup failure degrades to skipping the blocked-tenant assertions","A failing cross-tenant guard could be reported as pass when the blocked session can't be created","Static review",Medium,"Fail the test when required negative-path session cannot be established",NON_BLOCKING
F-23,Company dashboard uses un-audited /api/org/intelligence,LOW,observability,frontend/src/app/(dashboard)/dashboard/page.tsx,"dashboard/page.tsx:212 fetches /api/org/intelligence which does not write the risk_profile.generated audit event","Risk-profile reads should be auditable","Main dashboard reads bypass audit logging present on /api/risk-profile","Incomplete access audit trail for the most-used view","Static review",High,"Route dashboard through the audited endpoint or add audit logging to org/intelligence",NON_BLOCKING
F-24,No scientific/empirical validation exists for the methodology engine,HIGH,claims,docs/sera-vnext/*; tests/sera-vnext/engine-validation-v01/,"Validation is determinism + boundary compliance on 39 cases (30 synthetic, 9 real); no inter-rater reliability, no empirical accuracy study; public badge 'Metodologia validada'","Scientific validation requires empirical accuracy and/or inter-rater reliability evidence","Determinism and contract compliance are demonstrated; scientific validity is not","Claiming scientific/methodological validation is unsupported","High",High,"Do not claim scientific validation; describe as deterministic implementation of a documented method pending empirical study",BLOCKING_FOR_VALIDATION_CLAIM
F-25,Documentation sprawl (1287 docs) with microphase and readiness-inflation risk,MEDIUM,governance,docs/sera-vnext/,"find docs/sera-vnext -name '*.md' | wc -l = 1287; pervasive A4R### microphase docs and multiple prior 'audit/readiness' reports","Living, navigable documentation set","1287 markdown files; many superseded microphase artifacts and overlapping readiness/audit reports","High governance burden; conflicting/stale status; readiness inflation","High",High,"Establish a small living-state doc set; archive superseded A4R microphase docs under an /archive tree",NON_BLOCKING
