caseId,v0Finding,v0RootCause,v01Adjudication,v01Treatment,criticality
HUMAN-THEBAUD,"boundary visual approach not matched; recovery and very low height not excluded; uncertainty floor","escape window and temporal scope allowed recovery/outcome facts into candidate window","valid engine bug","temporal scope excludes recovery/very low height; boundary comparison checks supporting evidence",critical
GEN-EXECUFLIGHT-1526,"impact with terrain not excluded","post-escape phrase in same short narrative was not normalized flexibly","valid engine bug","temporal scope marks Only later/impact as POST_ESCAPE and fuzzy report checks accept impact terrain",critical
GEN-THEBAUD,"missing SENSORY_LIMITATION","precondition extraction depended on axis/code evidence and missed contextual visual degradation","valid engine bug","preconditions now derive from factual evidence with sensory tokens",critical
GEN-FIRST-AIR-6560,"P code null outside allowed set","V0 expected contract did not permit null where canonical evidence was insufficient","expected-boundary bug","v0.1 allows null when codeRequired=false",noncritical
GEN-AIR-CANADA-759,"A code A-C outside allowed set","code-first action helper chose feedback/slip before canonical evidence traversal","valid engine bug","evidence traversal reaches A-I when wrong-surface selection evidence supports it",critical
ADV-POST-ESCAPE-P,"finally recognized warning not excluded","post-escape recognition was not quarantined by temporal cue","valid engine bug","After/already/finally recognized is POST_ESCAPE and prohibited for P/O/A",critical
ADV-ACTOR-MIGRATION,"missing ORGANIZATIONAL_CONTEXT","precondition mapping prioritized technical warning token before dispatch context","valid engine bug","explicit organizational tokens outrank technical warning tokens",critical
ADV-PRECONDITION-AS-ESCAPE,"O code null outside allowed; organizational context missing","V0 expected required code despite insufficient objective evidence; staffing/supervision missed","mixed expected and engine bug","null allowed when codeRequired=false; organizational precondition extracted from staffing/supervision",critical
ADV-VIOLATION-WITHOUT-AWARENESS,"P/O/A null outside allowed","V0 expected treated unresolved nodes as partial even when awareness/intent was explicitly not established","expected-boundary bug","null allowed where evidence is insufficient; forbidden O-C/O-D remain critical",noncritical
ADV-TECHNICAL-DOMINANT,"missing TECHNICAL_CONTEXT","technical context extraction missed automation/control-law evidence","valid engine bug","technical tokens include automation, control law, rudder, failure and fault",critical
ADV-NO-FAILURE,"O/A null outside allowed","V0 expected required no-failure codes even when traversal evidence was thin","expected-boundary bug","null allowed when codeRequired=false; no forbidden code emitted",noncritical
ADV-AA-AC,"P null outside allowed","V0 expected required P-A though the method can leave P unresolved without perception detail","expected-boundary bug","null allowed when codeRequired=false; A-C/A-H remain forbidden",noncritical
