lane,current_status,current_source_phase,allowed_next_action,blocked_action,risk_if_misused,notes
Top 3 real-event candidate-only review,ACTIVE_COMPLETE_NON_FINAL,A4R202-E,"preserve as non-final calibration corpus and consume in later closure","final P/O/A; final escape point; READY; fixture; baseline; product",candidate-only work could be mistaken for final truth,"Comair clean anchor; Asiana and UPS keep boundary warnings"
Colgan,ACTIVE_LATER,A4R202-F,"revisit only in a later dedicated escalation or author dossier decision","treat as fourth reference now; force final anchor",forcing a fourth reference would hide the warning-window split,"reaudited and still required but not current calibrator"
Daumas calibration,ACTIVE_COMPLETE_NON_FINAL,A4R203-A,"consume as method/depth reference only","use as factual source; automatic reentry; baseline",method lane could contaminate factual lanes,"calibration extraction complete and non-factual"
G-WNSB and Execuflight,ACTIVE_LATER,A4R202-B/A4R202-DR2,"revisit after first-lane closure if needed","promote to first-lane calibration immediately",second-wave limits could weaken the clean corpus,"second-wave only; keep caution notes"
Synthetic GAP-004,ACTIVE_NEXT,A4R198-A/A4R197-D/A4R193-P,"run design review first and only consider controlled draft if design passes","materialize as fixture or baseline; open product",outcome trap design could be flattened into an obvious toy case,"next P1 synthetic candidate and not materialized"
Synthetic GAP-002,ACTIVE_LATER,A4R198-A/A4R197-D/A4R193-P,"prepare design readiness after GAP-004 discipline is consumed","start before GAP-004; silent actor migration",actor-boundary collapse would contaminate later causal reading,"agent migration stays after GAP-004"
Synthetic GAP-001,ARCHIVED,A4R194-L/A4R196-A,"retain as audited guardrail and provenance source only","reopen as active fixture or baseline lane",older controlled draft could be mistaken for active package,"controlled draft retained and audited"
Batch 2 deep extraction,ACTIVE_LATER,A4R202-DR2,"defer until governance and synthetic P1 package are closed","broad expansion now",more extraction now would increase documental sprawl,"not recommended before synthetic P1 work"
Perplexity targeted search,HOLD,A4R202-DR2/A4R201-B,"return only for narrow named-gap search if explicitly needed later","broad scouting revival",broad scouting would reintroduce low-authority noise,"later only and narrow only"
Governance simplification,ACTIVE_COMPLETE_NON_FINAL,A4R203-BIG,"use this package as the new current reference point","keep multiplying active truth docs",stale phase-local truth would re-enter decisions,"living state and macro roadmap now consolidated"
Fixture,BLOCKED,GOVERNANCE_LOCK,"design criteria only in later authorized phase","create fixture now",premature fixture would freeze non-final material,"blocked in current macrophase"
Baseline,BLOCKED,GOVERNANCE_LOCK,"design criteria only in later authorized phase","create baseline now",baseline promotion would bypass human closure,"blocked in current macrophase"
Product/UI/API,NOT_AUTHORIZED,GOVERNANCE_LOCK,"planning only in much later authorized phase","open UI/API/runtime now",product unlock would misuse candidate-only artifacts,"no authorization available now"
Risk/ERC/HFACS/downstream,BLOCKED,GOVERNANCE_LOCK,"keep outside causal baseline work","mix risk layer or downstream outputs into current lane",method contamination and scope breach,"causal baseline and risk layer stay separate"
