blocked_action,status,reason,unlock_condition,owner_decision_required,notes
product_UI_API_integration,BLOCKED,RR001_open_and_candidate_only_evidence,separate_authorized_product_phase_with_runtime_tests,YES,no_frontend_or_API_change_allowed
fixture_creation,BLOCKED,methodology_not_human_approved_for_fixture,use_explicit_human_review_and_fixture_phase,YES,no_tests_sera_fixtures_change_allowed
baseline_promotion,BLOCKED,baseline_requires_authorized_expected_values,use_explicit_human_review_and_baseline_phase,YES,no_tests_reports_baseline_change_allowed
synthetic_materialization_without_authorization,BLOCKED,A4R194_I_is_guardrail_not_materialization,new_explicit_human_authorization_for_A4R194_J,YES,A4R195_A_does_not_start_J
selected_released_final_outputs,BLOCKED,candidate_and_synthetic_material_must_not_emit_downstream_codes,authorized_runtime_or_fixture_phase_only,YES,no_active_operational_output_fields
HFACS_Risk_ARMS_recommendation_as_SERA_expected_value,BLOCKED,comparative_taxonomies_and_risk_layers_are_not_POA_determinants,methodology_board_decision_and_quarantine_rules,YES,can_be_context_only_not_expected_value
PM_primary_variant_without_separate_draft,BLOCKED,A4R194_H_I_require_separate_PM_primary_draft,new_authorized_separate_draft_scope,YES,GAP001_current_boundary_is_PF_primary_with_PM_consequence
Daumas_automatic_reentry,BLOCKED,Daumas_prior_work_is_methodology_context_not_empirical_expected_value,reentry_under_escape_point_contract,YES,four_Daumas_rows_remain_context_or_hold
technical_dominant_event_overclassification,BLOCKED,technical_or_environment_dominant_events_are_negative_controls,source_and_agent_act_moment_review,YES,Delta_USAir_5N_BQJ_remain_hold_or technical_boundary
canonical_tree_reconstruction,BLOCKED,canonical_questions_must_not_be_invented_or_reconstructed,exact_canonical_node_and_question_source,YES,missing_tree_means_blocked_trace
