gate_id,gate_name,current_status,entry_conditions,allowed_actions,blocked_actions,exit_conditions,required_model,recommended_next_phase,notes
GATE-PRODUCT-INTEGRATION,product_runtime_and_ui_api_gate,BLOCKED,rr001_closed_and_runtime_scope_authorized,none,product_ui_api_runtime_changes,human_authorized_runtime_plan_and_validation,gpt_5_5_thinking,A4R195_C,not_a4r195_b_scope
GATE-FIXTURE-CREATION,fixture_creation_gate,BLOCKED,methodology_review_and_owner_approval,none,fixture_creation,independent_fixture_gate_and_review,gpt_5_5_thinking,A4R195_C,no_fixture_in_b
GATE-BASELINE-PROMOTION,baseline_promotion_gate,BLOCKED,expected_value_governance_and_owner_approval,baseline_package_design_only,baseline_promotion,independent_baseline_gate_and_human_review,gpt_5_5_thinking,A4R195_C,planning_only_possible
GATE-A4R194-J-CONTROLLED-MATERIALIZATION,a4r194_j_materialization_gate,BLOCKED,explicit_human_authorization_for_j,decision_intake_preparation,automatic_or_unauthorized_j_materialization,new_explicit_owner_authorization_record,gpt_5_5_thinking,A4R195_C,j_not_started_in_b
GATE-SECOND-SYNTHETIC,second_synthetic_gate,BLOCKED,gap001_decision_closed_and_scope_approved,none,second_synthetic_creation,owner_decision_after_gap001_board,gpt_5_5_thinking,A4R195_C,avoid_scope_sprawl
GATE-SOURCE-RECOVERY,real_event_source_recovery_gate,ALLOWED,hold_pool_evidence_needs_source_work,source_recovery_planning_and_execution,forced_ready_without_evidence,source_packet_and_contract_sufficiency,codex_gpt_5_3_high,A4R195_C,real_first_path
GATE-DAUMAS-REENTRY,daumas_reentry_gate,BLOCKED,escape_point_contract_reentry_scope,method_reference_use,automatic_operational_reentry,explicit_daumas_reentry_scope_and_review,gpt_5_5_thinking,A4R195_C,reference_only_default
GATE-REAL-EVENT-HOLD-PROMOTION,hold_to_ready_promotion_gate,BLOCKED,source_and_agent_act_moment_closure,source_recovery,hold_event_promotion_without_closure,evidence_complete_and_human_review,codex_gpt_5_3_high,A4R195_C,technical_dominant_holds_must_remain_guarded
GATE-OUTPUT-CODES,selected_released_final_output_gate,BLOCKED,authorized_runtime_or_fixture_phase,none,selected_released_final_operational_outputs,explicit_phase_authorization_and_controls,gpt_5_5_thinking,A4R195_C,locks_closed_in_b
GATE-RISK-DOWNSTREAM,risk_downstream_output_gate,BLOCKED,post_causal_governance_phase,none,hfacs_risk_arms_recommendation_outputs,explicit_downstream_phase_authorization,gpt_5_5_thinking,A4R195_C,no_downstream_in_b
