axis,nodeOrder,nodeId,nodeIdType,exactQuestionTextPt,exactQuestionTextEn,branchCondition,nextNodeHint,canonicalStatus,usableForTraversal,notes
O,1,O_ROOT,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O que o operador estava tentando alcançar? Qual era a intenção ou o objetivo que o levou a cometer o ato inseguro?,What was the operator or crew member trying to achieve...what was the intent or goal(s) that led to the unsafe act?,START,NEXT_NODE:O_RULES,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,2,O_RULES,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?","Was the GOAL consistent with rules, regulations and SOPs, and was it also consistent with good risk management?",SIM,NEXT_NODE:O_MANAGED_RISK,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,2,O_RULES,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,"O objetivo era consistente com as regras, regulamentos e procedimentos operacionais estabelecidos e também era consistente com um bom gerenciamento de riscos?","Was the GOAL consistent with rules, regulations and SOPs, and was it also consistent with good risk management?",NÃO,NEXT_NODE:O_ROUTINE,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,3,O_ROUTINE,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,Violação de rotina?,Routine violation?,SIM,LEAF:O-B,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,3,O_ROUTINE,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,Violação de rotina?,Routine violation?,NÃO,LEAF:O-C,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,4,O_MANAGED_RISK,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,"O ato inseguro resultou do exercício de uma meta que, embora consistente com as Regras e Regulamentos, não era consistente com os procedimentos operacionais estabelecidos ou não gerenciava ou limitava o risco?","GOAL conservative, managed risk, consistent with SOPs?",SIM,LEAF:O-A,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
O,4,O_MANAGED_RISK,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,"O ato inseguro resultou do exercício de uma meta que, embora consistente com as Regras e Regulamentos, não era consistente com os procedimentos operacionais estabelecidos ou não gerenciava ou limitava o risco?","GOAL conservative, managed risk, consistent with SOPs?",NÃO,LEAF:O-D,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
P,1,P_ROOT,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,O que o operador acreditou que estava acontecendo no ambiente com relação ao objetivo que pretendia alcançar?,What did the operator or crewmember believe was the state of the world with respect to the goal(s)?,START,NEXT_NODE:P_ASSESSMENT,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
P,2,P_ASSESSMENT,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,Avaliação correta ou adequada da situação?,Correct or adequate assessment of the situation?,SIM,LEAF:P-A,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
P,2,P_ASSESSMENT,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,Avaliação correta ou adequada da situação?,Correct or adequate assessment of the situation?,NÃO,NEXT_NODE:P_CAPABILITY,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
P,3,P_CAPABILITY,TECHNICAL_STABLE_ID_NOT_ORIGINAL_SOURCE_ID,Possuía a capacidade necessária para sentir e perceber a situação?,Had the pre-requisite capability to sense and perceive the situation?,NÃO_SENSORIAL,LEAF:P-B,CANONICAL_QUESTION_TREE_ASSET_ACTIVE,true,"technicalStableId, not original source id; notOriginalSourceId=true"
