gap_or_family,best_current_support,coverage_status,remaining_limitation,synthetic_needed,real_event_needed,Daumas_support,priority,notes
"clean escape point anchor","Comair 5191 plus A4R202-E cross-case review","STRONG_FOR_CANDIDATE_ONLY","non-final only; not a final escape-point approval","no","no","limited","HIGH","Comair remains the clean anchor for later benchmark criteria"
"automation and mode boundary","Asiana 214 plus A4R202-E warning path","COVERED_WITH_LIMITATION","automation-state loss versus 500 ft gate rejection remains an explicit warning","no","no","yes","HIGH","Keep coevaluation warning visible in any future benchmark design"
"procedural and FMC and MDA boundary","UPS 1354 plus A4R202-E warning path","COVERED_WITH_LIMITATION","setup versus execution and MDA continuation remain explicit warning windows","no","no","yes","HIGH","Action lane is strong but the boundary stays warning-bearing"
"warning-window and PF_PM boundary","Colgan 3407 plus retained GAP-001 reference","PARTIAL_BOUNDARY_ONLY","Colgan is still unresolved as a positive reference and GAP-001 is retained only","maybe_later","no","yes","HIGH","Use as boundary pressure only and not as a fourth positive anchor"
"A-A and slip and action capture","2026-0001 human-applied crank case plus Daumas depth","COVERED_INPUT_ONLY","human values remain input only and cannot become vNext final","no","no","yes","MEDIUM_HIGH","Supports action capture without authorizing final classification"
"consequence-as-cause","GAP-004 plus human-applied consequence quarantine plus Daumas","STRONG_FOR_DESIGN_ONLY","support is synthetic-controlled and non-final by design","yes_already_controlled","no","yes","HIGH","Sufficient for calibration closure because the lane is explicitly design-only"
"agent migration","GAP-002 readiness plus G-WNSB plus Colgan plus Comair","PARTIAL_DESIGN_READY","GAP-002 is not materialized and actor migration remains a later controlled-draft problem","yes","no","yes","HIGH","Coverage is enough to hold the risk visible but not enough to close the lane completely"
"PF_PM separation","retained GAP-001 plus Colgan plus Execuflight plus Asiana partial pressure","PARTIAL_RETAINED","retained synthetic is not active and real-event evidence is still warning-bearing","maybe_later","no","yes","MEDIUM_HIGH","Adequate for closure but not for active promotion"
"Daumas methodological depth","A4R203-A extraction and A4R201-C note","STRONG_METHOD_ONLY","must remain non-factual and non-automatic","no","no","yes","MEDIUM","Depth support is complete enough for candidate-only closure"
"precondition versus active failure","2026-0001 human-applied case plus Daumas plus G-WNSB and Colgan pressure","COVERED_WITH_LIMITATION","precondition-rich cases still require explicit quarantine discipline","no","no","yes","MEDIUM_HIGH","Team reduction and contextual pressure remain preconditions not escape points"
"outcome quarantine","2026-0001 human-applied case plus GAP-004 plus Daumas","STRONG_FOR_CANDIDATE_ONLY","support must remain non-final and design-first","yes_already_controlled","no","yes","HIGH","This is one of the strongest closure gains in A4R204-BIG and A4R205-BIG"
"insufficient evidence and hold handling","Colgan non-promotion plus deferred Batch 2 plus retained controls","PARTIAL","future benchmark work must still show how thin cases are held without forced promotion","no","maybe_later","limited","MEDIUM","Governance is stronger than coverage here, which is acceptable for closure"
"no-failure and A-A boundary","legacy gap tracking plus negative-control lane only","WEAK_BUT_VISIBLE","corpus has no clean dedicated no-failure anchor yet","yes_later","maybe_later","limited","MEDIUM","Keep explicit as a future benchmark-design prerequisite rather than a closure blocker"
"synthetic-real separation","A4R203-BIG governance locks plus A4R204-BIG synthetic package","STRONG_FOR_CANDIDATE_ONLY","discipline must be preserved in every later phase","yes_controlled_only","no","no","HIGH","Current separation is adequate and must not be relaxed before any fixture discussion"
